Experiment ID ,Crab ID,Date,Egg Development Stage ,Pleopod Number,Total number crab eggs,Number viable crab eggs,Number nonviable crab eggs,Number Adult Copepods,Number Juvenile Copepods,Number Copepod Eggs,Number Nemerteans
Autoinfection-138,ANT-GAV-005,05/20/2022,L,2,1032,966,53,3,0,274,0
Autoinfection-006,ANT-GAV-006,04/06/2022,D,2,1035,1023,13,3,2,0,5
Autoinfection-020,ANT-GAV-006,04/09/2022,E,2,1115,1089,26,4,2,13,7
Autoinfection-034,ANT-GAV-006,04/12/2022,E,2,1027,1017,10,2,0,17,0
Autoinfection-048,ANT-GAV-006,04/15/2022,F,2,584,336,7,4,0,78,1
Autoinfection-062,ANT-GAV-006,04/18/2022,G,2,894,883,11,4,0,96,1
Autoinfection-075,ANT-GAV-006,04/21/2022,I,2,1020,1001,19,2,0,95,2
Autoinfection-086,ANT-GAV-006,4/24/2022,I,2,1003,974,29,2,2,133,1
Autoinfection-097,ANT-GAV-006,04/27/2022,J,2,1205,1173,32,4,6,154,0
Autoinfection-104,ANT-GAV-006,4/30/2022,K,2,1024,981,43,1,11,161,2
Autoinfection-021,ANT-GAV-007,04/09/2022,E,2,1024,1003,21,2,0,49,1
Autoinfection-035,ANT-GAV-007,04/12/2022,F,2,1012,1010,2,5,0,27,0
Autoinfection-076,ANT-GAV-007,04/21/2022,J,2,1053,1029,24,6,0,94,0
Autoinfection-087,ANT-GAV-007,4/24/2022,J,2,1112,1084,28,8,5,385,0
Autoinfection-096,ANT-GAV-007,04/27/2022,K,2,1030,1015,15,2,20,110,0
Autoinfection-008,ANT-GAV-008,04/06/2022,I,2,1064,1059,5,0,0,12,0
Autoinfection-022,ANT-GAV-008,04/09/2022,I,2,1001,980,21,0,0,5,1
Autoinfection-036,ANT-GAV-008,04/12/2022,J,2,1015,1015,0,0,4,11,0
Autoinfection-050,ANT-GAV-008,04/15/2022,K,2,1094,1078,16,0,2,10,0
Autoinfection-009,ANT-GAV-009,04/06/2022,J,2,1005,970,35,0,1,4,6
Autoinfection-037,ANT-GAV-009,04/12/2022,K,2,1056,1025,31,0,2,8,0
Autoinfection-010,ANT-GAV-010,04/07/2022,G,2,1105,1098,7,0,1,0,0
Autoinfection-024,ANT-GAV-010,04/10/2022,G,2,1022,1019,3,0,0,8,0
Autoinfection-038,ANT-GAV-010,04/13/2022,I,2,1074,1040,34,0,0,12,0
Autoinfection-052,ANT-GAV-010,04/16/2022,J,2,1042,1031,11,1,1,15,0
Autoinfection-065,ANT-GAV-010,04/19/2022,J,2,1012,980,32,0,6,15,1
Autoinfection-025,ANT-GAV-012,04/10/2022,F,2,1009,993,16,2,0,6,2
Autoinfection-039,ANT-GAV-012,04/13/2022,F,2,851,831,20,0,0,38,0
Autoinfection-053,ANT-GAV-012,04/16/2022,G,2,1125,1090,43,1,0,69,1
Autoinfection-066,ANT-GAV-012,04/19/2022,I,2,1000,940,60,2,5,43,1
Autoinfection-078,ANT-GAV-012,04/22/2022,J,2,1089,1050,39,2,12,60,0
Autoinfection-098,ANT-GAV-012,04/28/2022,L,2,1101,966,135,3,22,75,0
Autoinfection-012,ANT-GAV-013,04/07/2022,F,2,984,978,6,0,0,1,0
Autoinfection-026,ANT-GAV-013,04/10/2022,F,2,1085,1077,8,1,0,15,0
Autoinfection-054,ANT-GAV-013,04/16/2022,F,2,1046,1035,11,0,0,23,0
Autoinfection-067,ANT-GAV-013,04/19/2022,I,2,1084,1067,17,2,7,43,0
Autoinfection-099,ANT-GAV-013,04/28/2022,K,2,1019,1009,10,1,18,26,0
Autoinfection-013,ANT-GAV-014,04/07/2022,J,2,1025,1001,24,4,4,37,0
Autoinfection-027,ANT-GAV-014,04/10/2022,J,2,1045,1013,32,1,5,172,0
Autoinfection-041,ANT-GAV-014,04/13/2022,K,2,987,980,7,5,7,208,0
Autoinfection-014,ANT-GAV-015,04/07/2022,G,2,1082,1052,30,1,0,17,0
Autoinfection-028,ANT-GAV-015,04/10/2022,H,2,1027,997,30,2,0,83,0
Autoinfection-056,ANT-GAV-015,04/16/2022,J,2,1003,957,46,1,0,37,0
Autoinfection-069,ANT-GAV-015,04/19/2022,L,2,1017,984,33,4,13,355,0
