Experiment ID ,Crab ID,Date,Egg Development Stage ,Pleopod Number,Total number of eggs,Number viable crab eggs,Number popped crab eggs,Number of Adult Copepods,Number of Juvenile Copepods,Size of Copepods ,Number of Copepod Eggs,Number of Nemerteans,Photo/Video Name,Investigator,QA Checkoff Person 1,QA Checkoff Person 2,,Water Temperature
Autoinfection-057,ANT-GAV-001,04/17/2022,F,2,1065,1033,32,21,0,,847,0,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-058,ANT-GAV-002,04/17/2022,G,2,1041,1030,11,5,0,,312,0,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-059,ANT-GAV-003,04/17/2022,F,2,1196,1187,11,0,1,,2,0,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-060,ANT-GAV-004,04/17/2022,I,2,1005,981,25,0,0,,46,1,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-061,ANT-GAV-005,04/17/2022,D,2,1179,1150,29,0,11,,0,1,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-062,ANT-GAV-006,04/18/2022,G,2,894,883,11,4,0,,96,1,https://drive.google.com/file/d/1AGsM8mMHIrwhFN_kHuLWulhgrrbriWcn/view?usp=sharing,,"CG, 1/22/23","SL, 1/23/23",,
Autoinfection-064,ANT-GAV-008,04/19/2022,M,,0,0,47,2,1,,35,0,,AS,"SL, 10/16/22","CG, 10/16/22",,13
Autoinfection-065,ANT-GAV-010,04/19/2022,J,2,1012,980,32,0,6,,15,1,,AS,"SL, 10/16/22","CG, 10/16/22",,14
Autoinfection-066,ANT-GAV-012,04/19/2022,I,2,1000,940,60,2,5,,43,1,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-067,ANT-GAV-013,04/19/2022,I,2,1084,1067,17,2,7,,43,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-068,ANT-GAV-014,04/19/2022,M,,0,0,143,5,10,,48,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-069,ANT-GAV-015,04/19/2022,L,2,1017,984,33,4,13,,355,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-070,ANT-GAV-001,04/20/2022,I,2,1158,1157,1,12,0,,437,0,https://drive.google.com/file/d/1BYvW9fJk-UHDA0TCoazmS6zPG_VSISst/view?usp=sharing,,"CG, 1/22/23","SL, 1/23/23",,
Autoinfection-071,ANT-GAV-002,04/20/2022,H,2,1106,1105,1,3,2,,137,0,,MS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-072,ANT-GAV-003,04/20/2022,G,2,1015,904,11,1,0,,16,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-073,ANT-GAV-004,04/20/2022,J,2,1029,1019,10,2,0,,57,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-074,ANT-GAV-005,4/20/2022,E,2,1063,1041,22,4,3,,4,4,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-075,ANT-GAV-006,04/21/2022,I,2,1020,1001,19,2,0,,95,2,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-076,ANT-GAV-007,04/21/2022,J,2,1053,1029,24,6,0,,94,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-078,ANT-GAV-012,04/22/2022,J,2,1089,1050,39,2,12,,60,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-080,ANT-GAV-015,04/22/2022,M,2,1080,392,688,1,9,,76,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-081,ANT-GAV-001,04/23/2022,H,2,1005,790,215,18,0,,847,0,,CG,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-082,ANT-GAV-002,04/23/2022,I,2,1004,986,24,2,0,,138,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-084,ANT-GAV-004,04/23/2022,K,2,1052,928,24,0,0,,31,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-085,ANT-GAV-005,4/23/2022,D,2,1071,1028,43,1,1,,11,2,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-086,ANT-GAV-006,4/24/2022,I,2,1003,974,29,2,2,,133,1,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-087,ANT-GAV-007,4/24/2022,J,2,1112,1084,28,8,5,,385,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-090,ANT-GAV-001,04/26/2022,I,2,1020,674,394,25,3,,1159,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-091,ANT-GAV-002,04/26/2022,I,2,1040,971,69,5,0,,208,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-093,ANT-GAV-005,4/26/2022,D,2,1023,992,31,6,1,,24,3,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-094,ANT-GAV-015,04/26/2022,M,,0,0,0,31,36,,1213,0,,JO,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-095,ANT-GAV-010,04/26/2022,M,,0,0,0,16,2,,108,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-096,ANT-GAV-007,04/27/2022,K,2,1030,1015,15,2,20,,110,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-097,ANT-GAV-006,04/27/2022,J,2,1205,1173,32,4,6,,154,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-098,ANT-GAV-012,04/28/2022,L,2,1101,966,135,3,22,,75,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-099,ANT-GAV-013,04/28/2022,K,2,1019,1009,10,1,18,,26,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-100,ANT-GAV-001,04/29/2022,I,2,1881,718,880,40,702,,2671,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-101,ANT-GAV-002,04/29/2022,J,2,991,960,31,2,0,,57,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-102,ANT-GAV-003,04/29/2022,I,2,1016,1009,7,1,2,,6,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-103,ANT-GAV-005,4/29/2022,E,2,1051,1011,40,9,0,,79,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-104,ANT-GAV-006,4/30/2022,K,2,1024,981,43,1,11,,161,2,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-106,ANT-GAV-012,5/1/2022,M,,0,0,0,0,0,,0,0,,SL,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-107,ANT-GAV-013,5/1/2022,M,,0,0,0,0,0,,153,0,,,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-108,ANT-GAV-005,05/02/2022,F,2,998,974,23,19,6,,497,0,https://drive.google.com/file/d/1H6hTuxBuXeuhh2219PIHyeIDvUf39vly/view?usp=sharing,,"CG, 1/22/23","SL, 1/23/23",,
Autoinfection-112,ANT-GAV-006,05/03/2022,M,,1059,609,450,1,47,,360,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-113,ANT-GAV-007,05/03/2022,M,2,1084,547,537,0,5,,394,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-117,ANT-GAV-005,05/05/2022,G,2,1029,1015,14,14,0,,291,1,https://drive.google.com/file/d/1-cEyoRcfg_2qcAk5AYDDYHM5_b1F1fuE/view?usp=sharing,,"CG, 1/22/23","SL, 1/23/23",,
Autoinfection-118,ANT-GAV-006,05/06/2022,M,,0,0,0,0,0,,356,0,,CG,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-119,ANT-GAV-007,05/06/2022,M,,0,0,0,0,0,,692,0,https://drive.google.com/file/d/1m484zzlMSo5RxM8dQ5H_yIz8QfKfpS2a/view?usp=sharing,CG,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-120,ANT-GAV-002,05/07/2022,M,,NA,NA,NA,5,4,,282,1,ANT-GAV-002_Autoinfection-120_050722_1_50_GP.JPG,GP,"GP, 08/11/2022","CG, 10/16/22",,14
Autoinfection-121,ANT-GAV-001,05/08/2022,K,2,1096,662,319,0,0,,500,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-122,ANT-GAV-003,05/08/2022,M,,1100,0,0,0,0,,46,0,https://drive.google.com/file/d/1xjjp4ObP43XtMGezSNcEevQTq7-sq-py/view?usp=sharing,CG,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-123,ANT-GAV-005,05/08/2022,I,2,1009,953,56,22,0,,766,1,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-124,ANT-GAV-003,05/09/2022,M,,0,0,0,0,0,,801,0,ANT-GAV-003_Autoinfection-124_050922_2_22.5_SL.JPG,SL,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-126,ANT-GAV-005,05/11/2022,J,2,1004,905,99,12,14,,1174,2,,SL,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-130,ANT-GAV-005,05/14/2022,K,2,1048,1037,11,4,50,,664,1,,MS,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-134,ANT-GAV-005,05/17/2022,L,2,991,964,27,4,171,,565,2,,MS,"SL, 10/25/22",,,
Autoinfection-138,ANT-GAV-005,05/20/2022,L,2,1032,966,53,3,0,,274,0,,CG,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-142,ANT-GAV-005,05/23/2022,M,2,0,0,0,38,79,"0.21mm (nauplii not copepodid), 0.40mm, 0.42mm, 0.39mm, 0.41mm, 0.38mm",926,0,,,"SL, 10/25/22","CG, 10/25/22",,
