Experiment ID,Crab ID,Date,EDS,Pleopod Number,Total Number Crab Eggs,Number Viable Crab Eggs,Number Damaged Crab Eggs,Number Stunted Crab Eggs,Total Number Non-Viable Crab Eggs,Number Adult Nicos,Number Juvenile Nicos,Number Nico Eggs,Number of Nemerteans,Water Temperature,Images,Initials,Notes,,,,,,,,,
Mortality-011,ANT-GAV-031,01/24/2023,I,7,1125,1091,21,13,34,0,8,46,1,12,"ANT-GAV-031_Mortality-011_01242023_1_30_JO
ANT-GAV-031_Mortality-011_01242023_2_30_JO",JO,"-the eggs look really healthy and there are not many juveniles or nico eggs 
-there are also nemertean eggs present ",,,,,,,,,
Mortality-012,ANT-GAV-032,01/24/2023,J,5,1227,1180,34,13,47,1,36,231,0,12,ANT-GAV-032_Mortality-012_01242023_1_30_JO,JO,-there are nemertean eggs ,,,,,,,,,
Mortality-013,ANT-GAV-033,01/25/2023,K,7,1728,1691,15,22,37,0,36,42,1,12,"ANT-GAV-033_Mortality-013_01252023_1_30_JO
ANT-GAV-033_Mortality-013_01252023_2_45_JO",JO,"-there are nemertean eggs 
-the nico eggs look like they are in later development (pictures included)
-hypothesized that the adult nicos start dying in later EDS and the nico eggs all begin to hatch before the crab eggs hatch so that the copepodids can all move up into the gills before the next oviposition ",,,,,,,,,
Mortality-014,ANT-GAV-034,01/25/2023,H,1,1491,1438,41,12,53,10,10,547,0,12,"ANT-GAV-034_Mortality-014_01252023_1_30_JO
ANT-GAV-034_Mortality-014_01252023_2_20_JO
ANT-GAV-034_Mortality-014_01252023_3_20_JO
ANT-GAV-034_Mortality-014_01252023_4_30_JO
ANT-GAV-034_Mortality-014_01252023_5_30_JO
ANT-GAV-034_Mortality-014_01252023_6_30_JO
ANT-GAV-034_Mortality-014_01252023_7_30_JO
ANT-GAV-034_Mortality-014_01252023_8_45_JO
ANT-GAV-034_Mortality-014_01252023_9_45_JO
ANT-GAV-034_Mortality-014_01252023_10_45_JO
ANT-GAV-034_Mortality-014_01252023_11_45_JO",JO,"-eggs are still very bright orange and the adult nicos blend in really well
-there are a lot of eggs and I believe it is around this stage of E-H where the adults are blending in and ovipositing a lot of eggs in the fasicles 
-good photos of the different sizes and colors of the nicos
no nemerteans but nemertean eggs ",,,,,,,,,
Mortality-015,ANT-GAV-035,01/25/2023,K,4,1362,1275,53,34,87,1,28,46,1,12,ANT-GAV-035_Mortality-015_01252023_1_30_JO,JO,"-nemerteans and nemertean eggs present
-there were large and dark colored adult nicos present on the egg mass that were visible with the naked eye
-there are not many nico eggs but the ones that are present are in later development
-overall the eggs don't look too bad but there is a lot of mites? swimming around",,,,,,,,,
Mortality-016,ANT-GAV-036,01/26/2023,I,4,1458,1417,22,19,41,0,18,43,0,12,ANT-GAV-036_Mortality-016_01262023_1_30_JO,JO,"-a few large adult nicos were seen in the egg mass 
-overall the eggs look pretty good
-it is at the very last stage of I (there are still four lobes but the back two are very small)
-no nemerteans were seen but nemertean eggs were seen present",,,,,,,,,
Mortality-017,ANT-GAV-037,01/26/2023,I,3,1342,259,870,213,1083,15,1395,2044,0,12,"ANT-GAV-037_Mortality-017_01262023_1_10_JO
ANT-GAV-037_Mortality-017_01262023_2_10_JO
ANT-GAV-037_Mortality-017_01262023_3_20_JO
ANT-GAV-037_Mortality-017_01262023_4_35_JO
ANT-GAV-037_Mortality-017_01262023_5_35_JO
ANT-GAV-037_Mortality-017_01262023_6_45_JO
ANT-GAV-037_Mortality-017_01262023_7_45_JO
ANT-GAV-037_Mortality-017_01262023_8_30_JO
ANT-GAV-037_Mortality-017_01262023_9_30_JO",JO,"-egg mass is highly infested and many adults nicos are visible with the naked eye (definetly the most infested crab that I have seen in this batch)
-once again it was difficult to determine the EDS for this crab but I look for sections of the fasicles that had minimal amounts of nico eggs and used this as a reference to come to the conclusion that this is stage I (reference the last photo)
-in particular it is important to note the damaged eggs here include a lot of drained eggs 
-there were no nemerteans but there were nemertean eggs present
-the last photo shows what the normal developing eggs look like with there eyes vs. what the stunted ones look like (the stunted eggs have much smaller eye spots)",,,,,,,,,
Mortality-018,ANT-GAV-038,01/26/2023,I,7,1068,1019,21,28,49,6,90,209,0,12,ANT-GAV-038_Mortality-018_01262023_1_30_JO,JO,"-looks like late stage I and almost J 
-the eggs look pretty good overall
-there were no nemerteans or nemertean eggs ",,,,,,,,,
Mortality-019,ANT-GAV-030,01/27/2023,J,4,1524,1483,21,20,41,0,23,27,1,12,ANT-GAV-030_Mortality-019_01272023_1_30_JO,JO,"-final days of J there is barely a connection but it is present 
-overall these eggs look pretty good
-there were nemertean eggs seen 
-I think there isn't much since the eggs will likely hatch in 2-4 days ",,,,,,,,,
Mortality-020,ANT-GAV-031,01/27/2023,J,2,1476,1440,23,13,36,0,7,4,0,12,ANT-GAV-031_Mortality-020_01272023_1_30_JO,JO,"-there are nemertean eggs present 
-overall these egg look pretty good",,,,,,,,,
Mortality-021,ANT-GAV-032,01/27/2023,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,JO,"-the crab has already began to spawn this morning but has not finished spawning yet (there are still eggs and egg shells on the fascicles) 
-a small subsample was examined and there were nemerteans, adult nicos, and juvenile nicos present
-most of the eggs that haven't hatched look stunted or damaged ",,,,,,,,,
Mortality-022,ANT-GAV-033,01/28/2023,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,JV,"- Most eggs are spawned, but there are a handful of stunted eggs in stages G and L--more in stage L than G
- A lot of juvenile nicos, when not moving they specifically rest on stunted eggs",,,,,,,,,
Mortality-023,ANT-GAV-034,01/28/2023,J,8,1158,1123,12,23,35,4,4,173,1,14,"ANT-GAV-034-Mortality-023_01282023_1_45_NP
",NP,"- Very few eggs were stunted, and very few had hatched completely. Most at stage J or transitioning to stage K, with only a small amount behind that. Nico eggs plentiful, in small stacks.
- Very few mobile Nicos, only four adults and Juveniles seen. 
- Two Nicos were very large, and one of them was almost entierly light pink. Possibly pregnant Nico waiting to spawn on the fascicle.",,,,,,,,,
Mortality-024,ANT-GAV-035,01/28/2023,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,JV,"- Lots of nemertean eggs (~6 long sacks)
- Approximately 2-3 stunted eggs per fasicle
- Most stunted eggs appeared to be in stages F, G, and K (dominant stage is F)
- Some juvenile nicos present, no adults
- Lots of ""egg mites"" present",,,,,,,,,
Mortality-025,ANT-GAV-036,01/29/2023,K,4,1177,1128,26,23,49,0,8,21,1,12,ANT-GAV-036_Mortality-025_01292023_1_30_JO,JO,"-overall the eggs look to be in good conditions with no adult nicos present
-there are nemertean eggs present 
-a lot of the damaged eggs were purple or very deformed looking ",,,,,,,,,
Mortality-026,ANT-GAV-037,01/29/2023,L,5,1646,336,216,1094,1310,7,518,1160,2,12,"ANT-GAV-037_Mortality-026_01292023_1_12_JO
ANT-GAV-037_Mortality-026_01292023_2_12_JO
ANT-GAV-037_Mortality-026_01292023_3_12_JO
ANT-GAV-037_Mortality-026_01292023_4_45_JO
ANT-GAV-037_Mortality-026_01292023_5_45_JO
ANT-GAV-037_Mortality-026_01292023_6_45_JO
ANT-GAV-037_Mortality-026_01292023_7_45_JO
ANT-GAV-037_Mortality-026_01292023_8_20_JO
ANT-GAV-037_Mortality-026_01292023_9_45_JO
ANT-GAV-037_Mortality-026_01292023_10_20_JO
ANT-GAV-037_Mortality-026_01292023_11_45_JO
ANT-GAV-037_Mortality-026_01292023_12_45_JO
ANT-GAV-037_Mortality-026_01292023_13_45_JO
ANT-GAV-037_Mortality-026_01292023_14_45_JO",JO,"-highly highly infested; this is even evident with the naked eye when comparing the eggs from 036 and 037 which are at the same point in development 
-photo of an adult with juvenile
-took photos of full egg masses with camera
-really good photo of adult with eye spot in late development
-level of infestation makes determining the EDS challenging but based on timeline and egg groups this is believed to be in L or maybe late K but it is very hard to tell at this point (included a video of a definte viable egg)
-there are also nemerteans and nemertean eggs 
-image with insane amounts of stunting and there are many eggs is very different stages
-there was some bacterial growth on unhatched nico eggs 
-a lot of the damaged eggs are different colors (brown, opague white)
-images of damaged eggs= dark eggs, popped eggs, opague white eggs",,,,,,,,,
Mortality-027,ANT-GAV-038,01/29/2023,K,8,1225,1154,26,45,71,2,227,157,0,12,"ANT-GAV-038_Mortality-027_01292023_1_30_JO
ANT-GAV-038_Mortality-027_01292023_2_30_JO
ANT-GAV-038_Mortality-027_01292023_3_45_JO
ANT-GAV-038_Mortality-027_01292023_4_12_JO 
ANT-GAV-038_Mortality-027_01292023_5_12_JO
ANT-GAV-038_Mortality-027_01292023_6_12_JO 
ANT-GAV-038_Mortality-027_01292023_7_20_JO",JO,"-viable eggs appear to be in K stage development 
-all of the eggs in the 3 pictures have heartbeats
-there are nemertean eggs 
-overall the eggs look pretty good (can use as reference for 037)",,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,average number of adult nicothoids per EDS 
,,,,,0,,,,0,,,,,,,,,,,,,ANT-GAV-038_Mortality-027_01292023_7_20_JO,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
