Experiment ID,Crab ID,Date,Egg Development Stage,Day,Pleopod Number,Total number of eggs,Number viable crab eggs,Number popped crab eggs,Number of Adult Copepods,Number of Juvenile Copepods,Size of Copepods,Number of Copepod Eggs,Number of Nemerteans,Photo/Video Name,Investigator,Water Temperature
Autoinfection-016,ANT-GAV-002,04/08/2022,E,15,2,1056,1051,5,2,0,,4,0,,CG,15
Autoinfection-017,ANT-GAV-003,04/08/2022,E,17,2,1019,1019,0,0,1,,0,0,,CG,
Autoinfection-018,ANT-GAV-004,04/08/2022,F,26,2,1052,1049,3,0,0,,2,3,,CG,
Autoinfection-019,ANT-GAV-005,04/08/2022,B,3,2,1133,1179,15,0,9,,0,2,,GP,
Autoinfection-020,ANT-GAV-006,04/09/2022,E,21,2,1115,1089,26,4,2,,13,7,,CG,
Autoinfection-021,ANT-GAV-007,04/09/2022,E,21,2,1024,1003,21,2,0,,49,1,https://drive.google.com/file/d/1rzho4-z4LznSLAzihqBvbI8bo1hXvusk/view?usp=sharing,CG,
Autoinfection-022,ANT-GAV-008,04/09/2022,I,36,2,1001,980,21,0,0,,5,1,,JM,
Autoinfection-023,ANT-GAV-009,04/09/2022,J,39,2,1002,992,10,0,0,,0,0,,JM,
Autoinfection-024,ANT-GAV-010,04/10/2022,I,30,2,1022,1019,3,0,0,,8,0,,JO,
Autoinfection-025,ANT-GAV-012,04/10/2022,F,25,2,1009,993,16,2,0,,6,2,,AS,
Autoinfection-026,ANT-GAV-013,04/10/2022,F,24,2,1085,1077,8,1,0,,15,0,,SL,
Autoinfection-027,ANT-GAV-014,04/10/2022,J,38,2,1045,1013,32,1,5,,172,0,,SL,
Autoinfection-028,ANT-GAV-015,04/10/2022,I,32,2,1027,997,30,2,0,,83,0,,SL,
Autoinfection-029,ANT-GAV-001,04/11/2022,E,18,2,1190,1170,20,27,6,,350,0,,AS,
Autoinfection-030,ANT-GAV-002,4/11/2022,E,18,2,1060,1042,18,7,0,,118,0,,GP,
Autoinfection-031,ANT-GAV-003,4/11/2022,E,20,2,1062,1058,4,0,2,,0,0,,SL,
Autoinfection-032,ANT-GAV-004,4/11/2022,I,29,2,1061,1055,6,0,19,,12,0,,AS,
Autoinfection-033,ANT-GAV-005,4/11/2022,C,6,2,1050,1039,11,0,12,,0,6,,GP,
Autoinfection-034,ANT-GAV-006,04/12/2022,E,24,2,1027,1017,10,2,0,,17,0,,MS,
Autoinfection-035,ANT-GAV-007,04/12/2022,F,24,2,1012,1010,2,5,0,,27,0,,MS,
Autoinfection-036,ANT-GAV-008,04/12/2022,J,39,2,1015,1015,0,0,4,,11,0,,MS,
Autoinfection-037,ANT-GAV-009,04/12/2022,K,42,2,1056,1025,31,0,2,,8,0,,GP,
Autoinfection-038,ANT-GAV-010,04/13/2022,I,33,2,1074,1040,34,0,0,,12,0,,GP,
Autoinfection-039,ANT-GAV-012,04/13/2022,G,28,2,851,831,20,0,0,,38,0,,CG,
Autoinfection-040,ANT-GAV-013,04/13/2022,G,27,2,1204,1200,4,0,0,,0,0,,,
Autoinfection-041,ANT-GAV-014,04/13/2022,K,41,2,987,980,7,5,7,,208,0,,SL,
Autoinfection-042,ANT-GAV-015,04/13/2022,I,35,2,1094,1087,10,5,0,,34,1,,,
Autoinfection-043,ANT-GAV-001,04/14/2022,E,21,2,993,982,11,26,0,,345,0,,MS,
Autoinfection-044,ANT-GAV-002,04/14/2022,F,21,2,1003,994,9,2,0,,74,1,https://drive.google.com/file/d/1fbCJ5t6yGxFtxIrzm1nTZ2E_NCW5AB6m/view?usp=sharing,,
Autoinfection-045,ANT-GAV-003,04/14/2022,E,23,2,1042,1029,13,1,0,,8,0,,SL,
Autoinfection-046,ANT-GAV-004,04/14/2022,I,31,2,1052,1040,12,0,1,,45,0,,SL,
Autoinfection-047,ANT-GAV-005,04/14/2022,D,9,2,1017,1008,9,0,15,,0,0,,,
Autoinfection-048,ANT-GAV-006,04/15/2022,F,27,2,584,336,7,4,0,,78,1,,JO,
Autoinfection-049,ANT-GAV-007,04/15/2022,G,27,2,1002,998,4,2,2,,103,0,,,
Autoinfection-050,ANT-GAV-008,04/15/2022,K,42,2,1094,1078,16,0,2,,10,0,,SL,
Autoinfection-051,ANT-GAV-009,04/15/2022,M,45,,NA,NA,NA,2,2,,22,0,,JO,
Autoinfection-052,ANT-GAV-010,04/16/2022,I,36,2,1042,1031,11,1,1,,15,0,,AS,
Autoinfection-053,ANT-GAV-012,04/16/2022,I,31,2,1125,1090,43,1,0,,69,1,,AS,
Autoinfection-054,ANT-GAV-013,04/16/2022,I,30,2,1046,1035,11,0,0,NA,23,0,,AS,
Autoinfection-055,ANT-GAV-014,04/16/2022,M,44,,NA,NA,79 (didn't hatch),2 (alive),11,NA,38,0,,AS,
Autoinfection-056,ANT-GAV-015,04/16/2022,J,38,2,1003,957,46,1,0,,37,0,,AS,
Autoinfection-057,ANT-GAV-001,04/17/2022,F,24,2,1065,1033,32,21,0,,847,0,,GP,
Autoinfection-058,ANT-GAV-002,04/17/2022,G,24,2,1041,1030,11,5,0,,312,0,,GP,
Autoinfection-059,ANT-GAV-003,04/17/2022,F,26,2,1196,1187,11,0,1,,2,0,,GP,
Autoinfection-060,ANT-GAV-004,04/17/2022,I,34,2,1005,981,25,0,0,,46,1,,GP,
Autoinfection-061,ANT-GAV-005,04/17/2022,D,12,2,1179,1150,29,0,11,,0,1,,GP,
Autoinfection-062,ANT-GAV-006,04/18/2022,G,30,2,894,883,11,4,0,,96,1,https://drive.google.com/file/d/1AGsM8mMHIrwhFN_kHuLWulhgrrbriWcn/view?usp=sharing,,
Autoinfection-063,ANT-GAV-007,04/18/2022,I,30,2,1061,1048,13,3,2,,142,0,,,
Autoinfection-064,ANT-GAV-008,04/19/2022,M,45,,0,0,47,2,1,,35,0,,AS,13
Autoinfection-065,ANT-GAV-010,04/19/2022,J,39,2,1012,980,32,0,6,,15,1,,AS,14
Autoinfection-066,ANT-GAV-012,04/19/2022,I,34,2,1000,940,60,2,5,,43,1,,AS,
Autoinfection-067,ANT-GAV-013,04/19/2022,I,33,2,1084,1067,17,2,7,,43,0,,AS,
Autoinfection-068,ANT-GAV-014,04/19/2022,M,47,,0,0,143,5,10,,48,0,,AS,
Autoinfection-069,ANT-GAV-015,04/19/2022,K,41,2,1017,984,33,4,13,,355,0,,SL,
Autoinfection-070,ANT-GAV-001,04/20/2022,H,27,2,1158,1157,1,12,0,,437,0,https://drive.google.com/file/d/1BYvW9fJk-UHDA0TCoazmS6zPG_VSISst/view?usp=sharing,,
Autoinfection-071,ANT-GAV-002,04/20/2022,I,27,2,1106,1105,1,3,2,,137,0,,MS,
Autoinfection-072,ANT-GAV-003,04/20/2022,G,29,2,1015,904,11,1,0,,16,0,,CG,
Autoinfection-073,ANT-GAV-004,04/20/2022,J,37,2,1029,1019,10,2,0,,57,0,,CG,
Autoinfection-074,ANT-GAV-005,4/20/2022,E,15,2,1063,1041,22,4,3,,4,4,,CG,
Autoinfection-075,ANT-GAV-006,04/21/2022,I,33,2,1020,1001,19,2,0,,95,2,,CG,
Autoinfection-076,ANT-GAV-007,04/21/2022,I,33,2,1053,1029,24,6,0,,94,0,,CG,
Autoinfection-077,ANT-GAV-010,04/22/22,L,42,2,1006,869,137,0,5,,18,0,,,
Autoinfection-078,ANT-GAV-012,04/22/2022,I,37,2,1089,1050,39,2,12,,60,0,,AS,
Autoinfection-079,ANT-GAV-013,04/22/22,I,36,2,1002,997,5,1,7,,69,0,,,
Autoinfection-080,ANT-GAV-015,04/22/2022,M,44,2,1080,392,688,1,9,,76,0,,AS,
Autoinfection-081,ANT-GAV-001,04/23/2022,I,30,2,1005,790,215,18,0,,847,0,,CG,
Autoinfection-082,ANT-GAV-002,04/23/2022,I,30,2,1004,986,24,2,0,,138,0,,CG,
Autoinfection-083,ANT-GAV-003,04/23/2022,I,31,2,1070,1061,9,0,0,,1,1,,,
Autoinfection-084,ANT-GAV-004,04/23/2022,K,40,2,1052,928,24,0,0,,31,0,,CG,
Autoinfection-085,ANT-GAV-005,4/23/2022,E,18,2,1071,1028,43,1,1,,11,2,,CG,
Autoinfection-086,ANT-GAV-006,4/24/2022,I,36,2,1003,974,29,2,2,,133,1,,SL,
Autoinfection-087,ANT-GAV-007,4/24/2022,I,36,2,1112,1084,28,8,5,,385,0,,SL,
Autoinfection-088,ANT-GAV-012,4/25/22,K,40,2,1021,972,49,2,1,,30,5,,,
Autoinfection-089,ANT-GAV-013,4/25/22,J,39,2,950,941,9,1,0,,41,0,,,
Autoinfection-090,ANT-GAV-001,04/26/2022,I,33,2,1020,674,394,25,3,,1159,0,,SL,
Autoinfection-091,ANT-GAV-002,04/26/2022,I,33,2,1040,971,69,5,0,,208,0,,SL,
Autoinfection-092,ANT-GAV-003,04/26/2022,I,33,2,1011,995,16,0,0,,36,0,,,
Autoinfection-093,ANT-GAV-005,4/26/2022,E,21,2,1023,992,31,6,1,,24,3,,CG,
Autoinfection-094,ANT-GAV-015,04/26/2022,M,47,,0,0,0,31,36,,1213,0,,JO,
Autoinfection-095,ANT-GAV-010,04/26/2022,M,45,,0,0,0,16,2,,108,0,,CG,
Autoinfection-096,ANT-GAV-007,04/27/2022,J,39,2,1030,1015,15,2,20,,110,0,,AS,
Autoinfection-097,ANT-GAV-006,04/27/2022,I,39,2,1205,1173,32,4,6,,154,0,,AS,
Autoinfection-098,ANT-GAV-012,04/28/2022,L,43,2,1101,966,135,3,22,,75,0,,AS,
Autoinfection-099,ANT-GAV-013,04/28/2022,L,42,2,1019,1009,10,1,18,,26,0,,AS,
Autoinfection-100,ANT-GAV-001,04/29/2022,I,36,2,1881,718,880,40,702,,2671,0,,CG,
Autoinfection-101,ANT-GAV-002,04/29/2022,I,36,2,991,960,31,2,0,,57,0,,CG,
Autoinfection-102,ANT-GAV-003,04/29/2022,I,36,2,1016,1009,7,1,2,,6,0,,CG,
Autoinfection-103,ANT-GAV-005,4/29/2022,E,24,2,1051,1011,40,9,0,,79,0,,CG,
Autoinfection-104,ANT-GAV-006,4/30/2022,K,42,2,1024,981,43,1,11,,161,2,,SL,
Autoinfection-105,ANT-GAV-007,4/30/2022,K,42,2,1033,960,73,2,5,,92,1,,,
Autoinfection-106,ANT-GAV-012,5/1/2022,M,46,,0,0,0,0,0,,0,0,,SL,
Autoinfection-107,ANT-GAV-013,5/1/2022,M,45,,0,0,0,0,0,,153,0,,,
Autoinfection-108,ANT-GAV-005,05/02/2022,F,27,2,998,974,23,19,6,,497,0,https://drive.google.com/file/d/1H6hTuxBuXeuhh2219PIHyeIDvUf39vly/view?usp=sharing,,
Autoinfection-109,ANT-GAV-001,05/02/2022,J,39,2,1000,962,38,0,0,,1008,0,,,
Autoinfection-110,ANT-GAV-002,05/02/2022,J,39,2,1001,967,34,0,9,,0,0,,,
Autoinfection-111,ANT-GAV-003,05/02/2022,J,39,2,1000,983,17,0,1,,9,0,,,
Autoinfection-112,ANT-GAV-006,05/03/2022,M,45,,1059,609,450,1,47,,360,0,,SL,
Autoinfection-113,ANT-GAV-007,05/03/2022,M,45,2,1084,547,537,0,5,,394,0,,SL,
Autoinfection-114,ANT-GAV-001,05/05/2022,K,41,2,1253,1233,20,1,107,,212,0,,,
Autoinfection-115,ANT-GAV-002,05/05/2022,L,42,2,1060,936,124,0,0,,0,0,,,
Autoinfection-116,ANT-GAV-003,05/05/2022,K,42,2,1005,989,16,0,5,,88,0,,,
Autoinfection-117,ANT-GAV-005,05/05/2022,G,30,2,1029,1015,14,14,0,,291,1,https://drive.google.com/file/d/1-cEyoRcfg_2qcAk5AYDDYHM5_b1F1fuE/view?usp=sharing,,
Autoinfection-118,ANT-GAV-006,05/06/2022,M,48,,0,0,0,0,0,,356,0,,CG,"CG, 2/10/23"
Autoinfection-119,ANT-GAV-007,05/06/2022,M,48,,0,0,0,0,0,,692,0,https://drive.google.com/file/d/1m484zzlMSo5RxM8dQ5H_yIz8QfKfpS2a/view?usp=sharing,CG,"CG, 2/10/23"
Autoinfection-120,ANT-GAV-002,05/07/2022,M,45,NA,NA,NA,NA,5,4,,282,1,ANT-GAV-002_Autoinfection-120_050722_1_50_GP.JPG,GP,14
Autoinfection-121,ANT-GAV-001,05/08/2022,L,44,2,1096,662,319,0,0,,500,0,,CG,
Autoinfection-122,ANT-GAV-003,05/08/2022,M,45,NA,1100,0,0,0,0,,46,0,https://drive.google.com/file/d/1xjjp4ObP43XtMGezSNcEevQTq7-sq-py/view?usp=sharing,CG,"CG, 2/10/23"
Autoinfection-123,ANT-GAV-005,05/08/2022,I,33,2,1009,953,56,22,0,,766,1,,CG,
Autoinfection-124,ANT-GAV-003,05/09/2022,M,46,NA,0,0,0,0,0,,801,0,ANT-GAV-003_Autoinfection-124_050922_2_22.5_SL.JPG,SL,"CG, 2/10/23"
Autoinfection-126,ANT-GAV-005,05/11/2022,I,36,2,1004,905,99,12,14,,1174,2,,SL,
Autoinfection-130,ANT-GAV-005,05/14/2022,J,39,2,1048,1037,11,4,50,,664,1,,MS,
Autoinfection-134,ANT-GAV-005,05/17/2022,K,42,2,991,964,27,4,171,,565,2,,MS,
Autoinfection-138,ANT-GAV-005,05/20/2022,L,45,2,1032,966,53,3,0,,274,0,,CG,
Autoinfection-142,ANT-GAV-005,05/23/2022,M,48,2,0,0,0,38,79,"0.21mm (nauplii not copepodid), 0.40mm, 0.42mm, 0.39mm, 0.41mm, 0.38mm",926,0,,,
