crab_ID,collection_date,species,carapace_width,abdomen_width,sex,gravid,eds,location,notes,nico_date,first_location,dissected,nico_location,notes
PRO-GAV-006,03/31/2023,Cancer productus,124,33,F,Y,A,Gaviota Coast,small barnacle on topside bottom right,03/31/2023,eggs,no,egg mass,
MANT-GAV-012,04/21/2023,Cancer anthonyi,129,12,M,NA,NA,Gaviota Coast,Smallish,04/26/2023,gills,yes,gills,
MANT-GAV-013,04/21/2023,Cancer anthonyi,139,26,M,NA,NA,Gaviota Coast,slightly bigger than smallest,05/03/2023,gills,yes,gills,
MANT-GAV-014,04/21/2023,Cancer anthonyi,143,20,M,NA,NA,Gaviota Coast,lighter color,05/03/2023,gills,yes ,gills,
MANT-GAV-015,04/21/2023,Cancer anthonyi,125,11,M,NA,NA,Gaviota Coast,no barnacles on top of carapace or blemishes,04/26/2023,gills,yes ,gills,
MPRO-GAV-003,04/21/2023,Cancer productus,162,22,M,NA,NA,Gaviota Coast,"large, missing left pincher",04/26/2023,gills,yes ,gills,
PRO-GAV-007,05/05/2023,Cancer productus,157,51,F,N,NA,Gaviota Coast,big crab,not observed ,NA,yes,neither,-this crab never had eggs for us to examine but no nicos were seen in the gills during the dissection 
PRO-GAV-008,05/05/2023,Cancer productus,155,49,F,N,NA,Gaviota Coast,"big, darker/more grey near head. tiny white barnacle on the right side",05/16/2023,gills,yes,gills,
MPRO-GAV-004,05/05/2023,Cancer productus,165,21,M,NA,NA,Gaviota Coast,big,not observed,NA,no,NA,exclude due to lack of data
MATS-GAV-001,05/05/2023,Cancer antennarius,142,17,M,NA,NA,Gaviota Coast,huge pinchers but body not too large,not observed,NA,yes,gills,-this crab had a polychete and appears to be not in good health overall 
MATS-GAV-002,05/05/2023,Cancer antennarius,131,15,M,NA,NA,Gaviota Coast,big pinchers also relatively small,05/16/2023,gills,yes,gills,
PRO-ALE-001,04/16/2023,Cancer productus,NA,NA,F,Y,unk,Alegria Beach ,"-this is the first time that we have seen adult nicos in a red rock crab 
-all photos taken after ethanoling ",04/17/2023,eggs,no,egg mass,
MPRO-GAV-005,05/19/2023,Cancer productus,157,18,M,N,NA,Gaviota Coast,hold top of carpace,05/31/2023,gills,yes,gills,
MPRO-GAV-006,05/19/2023,Cancer productus,180,24,M,N,NA,Gaviota Coast,big af,06/07/2023,gills,yes,gills,
ATS-GAV-002,05/19/2023,Cancer antennarius,128,41,F,Y,M,Gaviota Coast,"-taking photos at 157.5x magnification of adult nicos
-all life stages of nicos present in sample",05/19/2023,eggs,no,NA,excluded due to lack of data 
ATS-GAV-003 (pre molt),05/19/2023,Cancer antennarius,103,31,F,N,NA,Gaviota Coast,bebe,05/24/2023,gills,yes,gills ,"- this crab molted on 05/23/2023 and the molt was placed in running seawater until the molt and gills could be examined on 05/24/2023
-there were nicos found in the gills of the exuvia on 05/24/2023"
MATS-GAV-003,05/19/2023,Cancer antennarius,134,18,M,N,NA,Gaviota Coast,big claws,05/31/2023,gills,yes,gills,
MATS-GAV-004,05/19/2023,Cancer antennarius,152,19,M,N,NA,Gaviota Coast,,06/07/2023,gills,yes ,gills,
MATS-GAV-005,05/19/2023,Cancer antennarius,126,15,M,N,NA,Gaviota Coast,,05/16/2023,gills,yes ,gills,
ATS-GAV-003 (post molt),05/24/2023,Cancer antennarius,127,39,F,N,NA,Gaviota Coast,measurements after molting ,05/24/2023,gills,yes ,gills,-this is the crab that molted 
ANT-SIO-002,05/24/2023,Cancer anthonyi,84.8,28,F,Y,J,Scripps Pier,-first crab from San Diego with nicos,05/25/2023,eggs,no,egg mass,-this is the first crab that has nicos that is not from Santa Barbara that we have examined and confirmed presence of nicos 
